frame,time_s,dt_ms,dy_px,speed_px_s,quality
133,2.098089,8.733,112.0,12824.4,2.773
134,2.106167,8.078,112.0,13865.2,3.286
135,2.114244,8.078,120.0,14855.6,2.964
136,2.122678,8.433,108.0,12806.3,9.390
137,2.131333,8.656,108.0,12477.5,1.078
138,2.138989,7.656,108.0,14107.4,1.032
139,2.147656,8.667,116.0,13384.6,8.645
140,2.156033,8.378,104.0,12413.8,3.305
141,2.163856,7.822,100.0,12784.1,2.897
142,2.172622,8.767,112.0,12775.7,3.314
143,2.180300,7.678,96.0,12503.6,1.047
144,2.189533,9.233,96.0,10397.1,1.005
145,2.198000,8.467,108.0,12755.9,12.637
146,2.206644,8.644,92.0,10642.7,1.381
147,2.214356,7.711,96.0,12449.6,1.082
148,2.222389,8.033,104.0,12946.1,3.448
149,2.230711,8.322,92.0,11054.7,53.236
150,2.238911,8.200,88.0,10731.7,3.891
151,2.246967,8.056,100.0,12413.8,12.910
152,2.264011,17.044,156.0,9152.5,3.869
153,2.272333,8.322,128.0,15380.5,3.523
154,2.281944,9.611,128.0,13317.9,3.020
155,2.290178,8.233,128.0,15546.6,3.312
156,2.298144,7.967,128.0,16066.9,3.354
157,2.306233,8.089,128.0,15824.2,3.029
158,2.313844,7.611,128.0,16817.5,3.209
159,2.322022,8.178,128.0,15652.2,3.226
160,2.336544,14.522,128.0,8814.1,3.823
161,2.339889,3.344,128.0,38272.4,3.525
162,2.347022,7.133,128.0,17943.9,3.212
163,2.359400,12.378,128.0,10341.1,3.718
164,2.366611,7.211,0.0,0.0,144.537
165,2.370900,4.289,0.0,0.0,262.700
166,2.379956,9.056,124.0,13693.3,3.518
167,2.388600,8.644,124.0,14344.5,20.559
168,2.401600,13.000,124.0,9538.5,3.062
169,2.407178,5.578,140.0,25099.6,26.714
170,2.412644,5.467,124.0,22682.9,24.392
171,2.421489,8.844,124.0,14020.1,27.910
172,2.430333,8.844,140.0,15829.1,1.015
173,2.439578,9.244,124.0,13413.5,3.220
174,2.448033,8.456,124.0,14664.9,1.037
175,2.455522,7.489,136.0,18160.2,3.596
176,2.464456,8.933,120.0,13432.8,3.348
177,2.472822,8.367,120.0,14342.6,28.444
