frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.922378,922.378,0.0,0.0,205.450
2,0.931444,9.067,160.0,17647.1,30.173
3,0.940267,8.822,124.0,14055.4,23.197
4,0.949922,9.656,148.0,15328.0,3.173
5,0.957122,7.200,116.0,16111.1,26.542
6,0.966222,9.100,124.0,13626.4,24.824
7,0.974067,7.844,148.0,18866.9,24.702
8,0.981767,7.700,116.0,15064.9,22.250
9,0.989744,7.978,124.0,15543.2,20.293
10,0.998522,8.778,148.0,16860.8,3.092
11,1.006556,8.033,116.0,14439.8,20.131
12,1.015278,8.722,124.0,14216.6,17.085
13,1.023367,8.089,148.0,18296.7,18.602
14,1.031933,8.567,0.0,0.0,166.176
15,1.047189,15.256,124.0,8128.2,2.991
16,1.060944,13.756,124.0,9014.5,25.422
17,1.063411,2.467,124.0,50270.3,2.897
18,1.071189,7.778,140.0,18000.0,25.158
19,1.080833,9.644,124.0,12857.1,25.787
20,1.090656,9.822,124.0,12624.4,22.351
21,1.101567,10.911,140.0,12831.0,3.164
22,1.104722,3.156,124.0,39295.8,1.015
23,1.113656,8.933,124.0,13880.6,2.764
24,1.122589,8.933,120.0,13432.8,3.082
25,1.129589,7.000,136.0,19428.6,27.630
26,1.139356,9.767,120.0,12286.7,28.585
27,1.147778,8.422,120.0,14248.0,27.034
28,1.155389,7.611,120.0,15766.4,1.074
29,1.163600,8.211,132.0,16075.8,2.626
30,1.171811,8.211,116.0,14127.2,11.143
31,1.180456,8.644,132.0,15269.9,3.040
32,1.188744,8.289,112.0,13512.1,1.059
33,1.196889,8.144,112.0,13751.7,1.023
34,1.205967,9.078,112.0,12337.8,51.579
35,1.214789,8.822,124.0,14055.4,2.907
36,1.222889,8.100,112.0,13827.2,1.008
37,1.230200,7.311,108.0,14772.0,2.626
38,1.238389,8.189,120.0,14654.0,3.391
39,1.246756,8.367,108.0,12908.4,3.118
40,1.255778,9.022,104.0,11527.1,3.420
41,1.263722,7.944,116.0,14601.4,2.462
42,1.272078,8.356,104.0,12446.8,2.670
43,1.280211,8.133,100.0,12295.1,2.547
44,1.287900,7.689,112.0,14566.5,3.310
45,1.296667,8.767,96.0,10950.6,1.022
46,1.304900,8.233,96.0,11659.9,1.057
47,1.313133,8.233,108.0,13117.4,12.797
48,1.322567,9.433,96.0,10176.7,3.084
49,1.329900,7.333,92.0,12545.5,4.930
50,1.337867,7.967,104.0,13054.4,2.363
51,1.345500,7.633,88.0,11528.4,1.092
52,1.354089,8.589,92.0,10711.5,1.026
53,1.362678,8.589,100.0,11642.9,3.075
54,1.373000,10.322,0.0,0.0,94.906
55,1.379156,6.156,168.0,27292.4,2.768
56,1.388044,8.889,128.0,14400.0,2.923
57,1.396933,8.889,128.0,14400.0,31.650
58,1.405211,8.278,128.0,15463.1,2.943
