frame,time_s,dt_ms,dy_px,speed_px_s,quality
134,2.000256,8.400,116.0,13809.5,2.959
135,2.009244,8.989,128.0,14239.8,27.843
136,2.017989,8.744,112.0,12808.1,2.943
137,2.026233,8.244,112.0,13584.9,69.869
138,2.034833,8.600,124.0,14418.6,12.240
139,2.042956,8.122,108.0,13296.9,2.900
140,2.051267,8.311,108.0,12994.7,14.896
141,2.058444,7.178,108.0,15046.4,3.288
142,2.066811,8.367,120.0,14342.6,2.745
143,2.075178,8.367,104.0,12430.3,17.487
144,2.084467,9.289,104.0,11196.2,23.733
145,2.091644,7.178,116.0,16161.0,1.032
146,2.100244,8.600,100.0,11627.9,2.939
147,2.108711,8.467,100.0,11811.0,2.908
148,2.117378,8.667,108.0,12461.5,1.056
149,2.125233,7.856,96.0,12220.7,41.510
150,2.133689,8.456,96.0,11353.5,42.018
151,2.142144,8.456,104.0,12299.6,3.106
152,2.149978,7.833,92.0,11744.7,5.625
153,2.158044,8.067,92.0,11405.0,4.511
154,2.166778,8.733,104.0,11908.4,1.045
155,2.174800,8.022,0.0,0.0,39.481
156,2.183222,8.422,144.0,17097.6,3.006
157,2.191644,8.422,128.0,15197.9,2.925
158,2.199722,8.078,128.0,15845.9,39.677
159,2.208367,8.644,128.0,14807.2,3.022
160,2.216433,8.067,128.0,15867.8,3.157
161,2.224500,8.067,128.0,15867.8,3.072
162,2.233389,8.889,128.0,14400.0,3.509
163,2.241478,8.089,128.0,15824.2,3.013
164,2.249911,8.433,128.0,15177.9,3.099
165,2.257833,7.922,128.0,16157.1,3.508
166,2.268400,10.567,128.0,12113.6,3.368
167,2.274878,6.478,128.0,19759.9,2.771
168,2.283011,8.133,0.0,0.0,76.835
169,2.291833,8.822,124.0,14055.4,2.893
170,2.299289,7.456,124.0,16631.9,12.092
171,2.308989,9.700,124.0,12783.5,3.107
172,2.316222,7.233,140.0,19354.8,14.403
173,2.325822,9.600,124.0,12916.7,11.877
174,2.333756,7.933,124.0,15630.3,2.868
175,2.342311,8.556,140.0,16363.6,2.721
176,2.349989,7.678,120.0,15629.5,1.002
177,2.358411,8.422,124.0,14723.0,2.784
178,2.366433,8.022,136.0,16952.9,19.264
179,2.374622,8.189,120.0,14654.0,2.843
180,2.382222,7.600,120.0,15789.5,21.056
181,2.390711,8.489,132.0,15549.7,1.065
182,2.399400,8.689,120.0,13810.7,1.023
183,2.407467,8.067,116.0,14380.2,1.022
184,2.416422,8.956,132.0,14739.5,2.713
185,2.425089,8.667,116.0,13384.6,12.450
186,2.433756,8.667,112.0,12923.1,2.967
187,2.441878,8.122,128.0,15759.2,63.002
188,2.449889,8.011,112.0,13980.6,69.101
189,2.457900,8.011,112.0,13980.6,66.878
190,2.466022,8.122,124.0,15266.8,2.543
191,2.474478,8.456,108.0,12772.7,2.478
192,2.482700,8.222,108.0,13135.1,2.362
193,2.491044,8.344,108.0,12942.7,2.684
194,2.499611,8.567,120.0,14007.8,1.109
195,2.508178,8.567,104.0,12140.1,2.647
196,2.515922,7.744,104.0,13429.0,3.006
197,2.524389,8.467,112.0,13228.3,1.025
198,2.533644,9.256,100.0,10804.3,10.746
199,2.541944,8.300,96.0,11566.3,1.038
200,2.549233,7.289,112.0,15365.9,1.043
201,2.558378,9.144,96.0,10498.2,2.575
202,2.570344,11.967,96.0,8022.3,2.758
203,2.573900,3.556,104.0,29250.0,2.531
204,2.582678,8.778,92.0,10481.0,4.349
205,2.591289,8.611,88.0,10219.4,1.131
206,2.599344,8.056,0.0,0.0,198.977
207,2.607833,8.489,168.0,19790.6,2.050
208,2.615711,7.878,128.0,16248.2,3.257
209,2.624044,8.333,128.0,15360.0,2.940
210,2.633444,9.400,128.0,13617.0,3.376
211,2.641211,7.767,128.0,16480.7,3.621
212,2.648978,7.767,128.0,16480.7,2.890
213,2.657611,8.633,128.0,14826.3,3.300
214,2.665978,8.367,128.0,15298.8,3.541
215,2.674133,8.156,128.0,15694.8,3.230
216,2.682289,8.156,128.0,15694.8,3.689
217,2.690667,8.378,128.0,15278.5,3.314
218,2.698767,8.100,128.0,15802.5,3.158
219,2.707289,8.522,0.0,0.0,114.072
220,2.722733,15.444,124.0,8028.8,2.644
221,2.732889,10.156,124.0,12210.1,16.575
222,2.739589,6.700,124.0,18507.5,11.821
223,2.747856,8.267,136.0,16451.6,1.139
224,2.756511,8.656,124.0,14326.1,2.827
225,2.764089,7.578,124.0,16363.6,3.530
226,2.772022,7.933,136.0,17142.9,3.836
227,2.780500,8.478,124.0,14626.5,1.073
228,2.789378,8.878,120.0,13516.9,3.091
229,2.797311,7.933,136.0,17142.9,16.293
230,2.805900,8.589,120.0,13971.5,21.121
231,2.813833,7.933,120.0,15126.1,2.914
232,2.822356,8.522,132.0,15488.9,2.898
233,2.830522,8.167,116.0,14204.1,2.776
234,2.838856,8.333,116.0,13920.0,3.158
235,2.847067,8.211,128.0,15588.6,3.065
236,2.855278,8.211,116.0,14127.2,2.837
237,2.863733,8.456,112.0,13245.7,3.036
238,2.878989,15.256,128.0,8390.4,2.972
239,2.882844,3.856,112.0,29049.0,3.043
240,2.888344,5.500,108.0,19636.4,1.017
241,2.896867,8.522,124.0,14550.2,1.003
242,2.905633,8.767,108.0,12319.4,13.195
243,2.914156,8.522,108.0,12672.8,2.869
244,2.922122,7.967,104.0,13054.4,3.347
245,2.930400,8.278,116.0,14013.4,2.813
246,2.939056,8.656,104.0,12015.4,2.942
247,2.947844,8.789,100.0,11378.0,2.874
248,2.956344,8.500,112.0,13176.5,2.656
249,2.964344,8.000,100.0,12500.0,2.450
250,2.971867,7.522,96.0,12762.2,2.776
251,2.979633,7.767,108.0,13905.6,2.648
252,2.988222,8.589,92.0,10711.5,1.343
253,2.996644,8.422,92.0,10923.5,1.141
254,3.005900,9.256,104.0,11236.5,9.523
255,3.013189,7.289,92.0,12622.0,40.396
256,3.021678,8.489,88.0,10366.5,3.432
257,3.030167,8.489,100.0,11780.1,12.654
258,3.038433,8.267,88.0,10645.2,2.132
259,3.046700,8.267,88.0,10645.2,1.218
260,3.060933,14.233,140.0,9836.1,1.045
261,3.065033,4.100,128.0,31219.5,2.927
262,3.071589,6.556,0.0,0.0,71.142
263,3.080178,8.589,212.0,24683.1,1.053
264,3.088144,7.967,132.0,16569.0,2.624
265,3.101800,13.656,116.0,8494.7,2.955
266,3.105911,4.111,148.0,36000.0,2.801
267,3.112800,6.889,40.0,5806.5,6.934
268,3.121456,8.656,12.0,1386.4,1.777
269,3.130411,8.956,4.0,446.7,2.617
270,3.137589,7.178,4.0,557.3,1.667
271,3.146378,8.789,116.0,13198.5,1.226
272,3.155011,8.633,0.0,0.0,20.316
273,3.163344,8.333,0.0,0.0,5.180
274,3.170911,7.567,124.0,16387.7,1.139
275,3.183756,12.844,124.0,9654.0,4.298
276,3.187833,4.078,124.0,30408.7,6.327
277,3.196389,8.556,140.0,16363.6,3.452
278,3.204733,8.344,124.0,14860.2,19.442
279,3.213200,8.467,124.0,14645.7,2.301
280,3.222267,9.067,136.0,15000.0,1.603
281,3.230489,8.222,120.0,14594.6,1.714
282,3.238467,7.978,120.0,15041.8,1.661
283,3.246211,7.744,136.0,17561.0,4.194
284,3.254822,8.611,120.0,13935.5,5.072
285,3.262956,8.133,120.0,14754.1,4.966
286,3.271400,8.444,132.0,15631.6,1.786
287,3.280933,9.533,116.0,12167.8,6.019
288,3.287567,6.633,116.0,17487.4,5.956
289,3.296333,8.767,132.0,15057.0,1.697
