frame,time_s,dt_ms,dy_px,speed_px_s,quality
133,2.030667,8.644,124.0,14344.5,3.237
134,2.038956,8.289,124.0,14959.8,21.345
135,2.046856,7.900,124.0,15696.2,3.399
136,2.055278,8.422,140.0,16622.7,30.121
137,2.063833,8.556,124.0,14493.5,28.913
138,2.073000,9.167,124.0,13527.3,28.360
139,2.082167,9.167,140.0,15272.7,1.120
140,2.089700,7.533,124.0,16460.2,3.580
141,2.114867,25.167,120.0,4768.2,1.105
142,2.122189,7.322,136.0,18573.6,3.309
143,2.130889,8.700,120.0,13793.1,3.806
144,2.138522,7.633,120.0,15720.5,65.997
145,2.146978,8.456,252.0,29802.9,36.841
146,2.154433,7.456,120.0,16095.4,1.046
147,2.162922,8.489,132.0,15549.7,3.072
148,2.171933,9.011,116.0,12873.0,21.036
149,2.180522,8.589,116.0,13505.8,1.065
150,2.188856,8.333,128.0,15360.0,69.542
151,2.197667,8.811,112.0,12711.2,3.356
152,2.205156,7.489,112.0,14955.5,60.500
153,2.213967,8.811,124.0,14073.1,2.399
154,2.222889,8.922,108.0,12104.6,2.503
155,2.231556,8.667,108.0,12461.5,12.700
156,2.238911,7.356,104.0,14139.0,1.011
157,2.246622,7.711,116.0,15043.2,1.027
158,2.254944,8.322,104.0,12496.7,16.403
159,2.263478,8.533,104.0,12187.5,3.443
160,2.271544,8.067,112.0,13884.3,3.475
161,2.279611,8.067,100.0,12396.7,3.249
162,2.287578,7.967,96.0,12050.2,1.056
163,2.295744,8.167,112.0,13714.3,1.006
164,2.304911,9.167,96.0,10472.7,3.400
165,2.313533,8.622,96.0,11134.0,34.177
166,2.321333,7.800,104.0,13333.3,30.947
167,2.329833,8.500,92.0,10823.5,6.527
168,2.337933,8.100,88.0,10864.2,1.041
169,2.346033,8.100,100.0,12345.7,3.122
170,2.354356,8.322,88.0,10574.1,15.188
171,2.362167,7.811,88.0,11266.0,2.442
172,2.370433,8.267,0.0,0.0,15.122
173,2.378922,8.489,172.0,20261.8,2.953
174,2.387211,8.289,128.0,15442.4,2.807
175,2.395289,8.078,128.0,15845.9,3.180
176,2.403956,8.667,128.0,14769.2,3.407
177,2.412089,8.133,128.0,15737.7,3.752
178,2.420222,8.133,128.0,15737.7,3.957
179,2.429722,9.500,128.0,13473.7,3.137
180,2.438067,8.344,128.0,15339.5,3.640
181,2.452678,14.611,128.0,8760.5,3.722
