frame,time_s,dt_ms,dy_px,speed_px_s,quality
133,2.043156,8.000,124.0,15500.0,24.415
134,2.052744,9.589,124.0,12931.6,3.141
135,2.060922,8.178,140.0,17119.6,3.258
136,2.069222,8.300,124.0,14939.8,3.292
137,2.078156,8.933,124.0,13880.6,1.001
138,2.085711,7.556,136.0,18000.0,3.199
139,2.093489,7.778,120.0,15428.6,3.199
140,2.101522,8.033,120.0,14937.8,50.921
141,2.111000,9.478,132.0,13927.3,1.110
142,2.118367,7.367,120.0,16289.6,1.087
143,2.126167,7.800,116.0,14871.8,1.071
144,2.135056,8.889,132.0,14850.0,3.085
145,2.143944,8.889,116.0,13050.0,12.806
146,2.151678,7.733,116.0,15000.0,1.108
147,2.159833,8.156,128.0,15694.8,53.258
148,2.167989,8.156,112.0,13733.0,28.751
149,2.176411,8.422,112.0,13298.2,52.203
150,2.185411,9.000,124.0,13777.8,2.681
151,2.194133,8.722,108.0,12382.2,2.661
152,2.200589,6.456,108.0,16729.8,2.408
153,2.209522,8.933,108.0,12089.6,2.823
154,2.217756,8.233,120.0,14574.9,1.106
155,2.226544,8.789,104.0,11833.1,21.151
156,2.234689,8.144,104.0,12769.4,2.792
157,2.243044,8.356,112.0,13404.3,1.067
158,2.251222,8.178,100.0,12228.3,10.179
159,2.259556,8.333,96.0,11520.0,1.085
160,2.268222,8.667,112.0,12923.1,1.062
161,2.277211,8.989,96.0,10679.9,2.558
162,2.283933,6.722,96.0,14281.0,29.081
163,2.292256,8.322,104.0,12496.7,19.722
164,2.301267,9.011,92.0,10209.6,5.048
165,2.309456,8.189,92.0,11234.7,1.048
166,2.317978,8.522,104.0,12203.4,1.211
167,2.327889,9.911,88.0,8878.9,2.399
168,2.333789,5.900,88.0,14915.3,55.532
169,2.343522,9.733,96.0,9863.0,9.386
170,2.351411,7.889,84.0,10647.9,37.055
171,2.359722,8.311,84.0,10107.0,2.113
172,2.367722,8.000,92.0,11500.0,2.152
173,2.377567,9.844,80.0,8126.4,56.835
174,2.384422,6.856,80.0,11669.4,127.894
175,2.392667,8.244,76.0,9218.3,1.186
176,2.400033,7.367,88.0,11945.7,3.178
177,2.408878,8.844,76.0,8593.0,78.192
178,2.417722,8.844,72.0,8140.7,1.050
179,2.425944,8.222,84.0,10216.2,130.495
180,2.434811,8.867,72.0,8120.3,118.002
181,2.442867,8.056,0.0,0.0,540.541
182,2.451111,8.244,188.0,22803.2,1.046
183,2.459511,8.400,132.0,15714.3,3.148
184,2.467733,8.222,128.0,15567.6,3.463
185,2.475956,8.222,128.0,15567.6,3.643
186,2.484289,8.333,128.0,15360.0,3.038
187,2.492622,8.333,128.0,15360.0,2.993
188,2.501344,8.722,128.0,14675.2,3.483
189,2.509256,7.911,128.0,16179.8,3.093
190,2.517289,8.033,128.0,15933.6,3.594
191,2.524989,7.700,128.0,16623.4,3.375
192,2.533967,8.978,128.0,14257.4,3.178
193,2.542411,8.444,0.0,0.0,178.080
194,2.550444,8.033,124.0,15435.7,20.391
195,2.559189,8.744,124.0,14180.4,2.863
196,2.567678,8.489,124.0,14607.3,30.496
197,2.576667,8.989,140.0,15574.8,3.024
198,2.584256,7.589,124.0,16339.7,3.629
199,2.594578,10.322,124.0,12012.9,3.660
200,2.601400,6.822,136.0,19934.9,3.766
201,2.608922,7.522,124.0,16484.5,1.048
202,2.617633,8.711,120.0,13775.5,3.284
203,2.626178,8.544,136.0,15916.8,49.880
204,2.634278,8.100,120.0,14814.8,52.338
205,2.642378,8.100,120.0,14814.8,3.029
206,2.651278,8.900,132.0,14831.5,2.783
207,2.659200,7.922,16.0,2019.6,2.199
208,2.667922,8.722,40.0,4586.0,1.339
209,2.675156,7.233,12.0,1659.0,1.193
210,2.683978,8.822,4.0,453.4,14.318
211,2.691878,7.900,0.0,0.0,8.246
212,2.700278,8.400,0.0,0.0,2.596
213,2.708389,8.111,0.0,0.0,1.409
214,2.717456,9.067,0.0,0.0,1.120
215,2.725456,8.000,0.0,0.0,1.179
216,2.734133,8.678,-4.0,460.9,1.318
217,2.742100,7.967,0.0,0.0,1.109
218,2.750600,8.500,0.0,0.0,1.111
219,2.759100,8.500,0.0,0.0,1.159
220,2.766622,7.522,-4.0,531.8,1.156
221,2.774978,8.356,0.0,0.0,1.162
222,2.783967,8.989,0.0,0.0,1.114
223,2.792000,8.033,-4.0,497.9,1.330
224,2.800578,8.578,-4.0,466.3,1.057
225,2.808833,8.256,-4.0,484.5,1.165
226,2.817511,8.678,-4.0,460.9,1.498
227,2.825511,8.000,-4.0,500.0,1.179
228,2.833689,8.178,-4.0,489.1,1.137
229,2.841356,7.667,-4.0,521.7,1.389
230,2.851422,10.067,0.0,0.0,1.089
231,2.858222,6.800,0.0,0.0,1.292
232,2.866300,8.078,0.0,0.0,1.119
233,2.875011,8.711,0.0,0.0,1.797
234,2.883267,8.256,0.0,0.0,2.266
235,2.892478,9.211,0.0,0.0,2.128
236,2.900533,8.056,0.0,0.0,3.111
237,2.908467,7.933,0.0,0.0,4.049
238,2.916400,7.933,0.0,0.0,4.394
239,2.924467,8.067,0.0,0.0,6.347
240,2.933033,8.567,0.0,0.0,7.446
241,2.941222,8.189,0.0,0.0,9.067
242,2.950222,9.000,0.0,0.0,9.658
243,2.958689,8.467,0.0,0.0,14.609
244,2.966756,8.067,0.0,0.0,1924.235
245,2.974822,8.067,0.0,0.0,1348.851
246,2.983944,9.122,188.0,20609.0,1.223
247,2.992178,8.233,140.0,17004.0,1.155
248,3.003544,11.367,128.0,11261.0,3.234
249,3.011489,7.944,128.0,16111.9,3.950
250,3.015811,4.322,128.0,29614.4,3.587
251,3.027056,11.244,128.0,11383.4,3.038
252,3.033189,6.133,128.0,20869.6,4.003
253,3.047300,14.111,128.0,9070.9,3.767
254,3.051933,4.633,128.0,27625.9,3.230
255,3.057122,5.189,128.0,24668.1,3.690
256,3.065733,8.611,128.0,14864.5,21.149
257,3.074722,8.989,0.0,0.0,5.770
258,3.082822,8.100,124.0,15308.6,28.851
259,3.092800,9.978,124.0,12427.6,4.249
260,3.099633,6.833,124.0,18146.3,3.589
261,3.107900,8.267,140.0,16935.5,46.628
262,3.116300,8.400,124.0,14761.9,50.751
263,3.125533,9.233,124.0,13429.6,3.612
264,3.134767,9.233,140.0,15162.5,2.971
265,3.141944,7.178,124.0,17275.5,3.552
266,3.152278,10.333,124.0,12000.0,1.023
267,3.157967,5.689,136.0,23906.3,2.772
268,3.167000,9.033,120.0,13284.1,3.923
269,3.174878,7.878,120.0,15232.7,40.132
270,3.183333,8.456,136.0,16084.1,1.060
271,3.191022,7.689,116.0,15086.7,1.060
272,3.200533,9.511,120.0,12616.8,1.120
273,3.208344,7.811,132.0,16899.0,2.634
274,3.215844,7.500,116.0,15466.7,23.168
275,3.224467,8.622,116.0,13453.6,1.188
276,3.233089,8.622,128.0,14845.4,54.057
277,3.241611,8.522,112.0,13142.1,2.817
278,3.249556,7.944,112.0,14097.9,33.480
279,3.258311,8.756,124.0,14162.4,20.324
280,3.266156,7.844,108.0,13767.7,3.770
281,3.274767,8.611,108.0,12541.9,3.601
282,3.282811,8.044,104.0,12928.2,1.168
283,3.291878,9.067,120.0,13235.3,3.280
284,3.300011,8.133,104.0,12786.9,3.429
285,3.308144,8.133,104.0,12786.9,3.251
286,3.315900,7.756,112.0,14441.3,1.169
287,3.324478,8.578,100.0,11658.0,11.193
288,3.332633,8.156,100.0,12261.6,1.019
289,3.341578,8.944,112.0,12521.7,1.007
290,3.349122,7.544,96.0,12724.6,30.494
291,3.358011,8.889,96.0,10800.0,2.583
292,3.366167,8.156,104.0,12752.0,2.669
293,3.374322,8.156,92.0,11280.7,42.584
294,3.382378,8.056,88.0,10924.1,1.263
295,3.391178,8.800,104.0,11818.2,1.192
296,3.399289,8.111,88.0,10849.3,2.327
297,3.409656,10.367,88.0,8488.7,81.859
298,3.416178,6.522,96.0,14718.9,12.351
299,3.423700,7.522,84.0,11166.9,50.465
300,3.432111,8.411,84.0,9986.8,2.359
301,3.440833,8.722,92.0,10547.8,3.169
302,3.450244,9.411,80.0,8500.6,31.312
303,3.458133,7.889,80.0,10140.8,162.865
304,3.465878,7.744,0.0,0.0,104.051
305,3.474311,8.433,144.0,17075.1,3.599
306,3.482478,8.167,128.0,15673.5,3.809
307,3.490644,8.167,128.0,15673.5,3.202
308,3.499444,8.800,128.0,14545.5,3.636
309,3.507422,7.978,128.0,16044.6,3.458
310,3.516033,8.611,128.0,14864.5,3.431
311,3.523933,7.900,128.0,16202.5,3.344
312,3.532356,8.422,128.0,15197.9,3.921
313,3.540778,8.422,128.0,15197.9,3.631
314,3.549567,8.789,128.0,14563.8,3.570
315,3.556756,7.189,128.0,17805.3,3.114
316,3.565544,8.789,128.0,14563.8,3.260
317,3.573833,8.289,0.0,0.0,118.235
318,3.582511,8.678,124.0,14289.4,3.223
319,3.590256,7.744,124.0,16011.5,26.141
320,3.599011,8.756,124.0,14162.4,3.094
321,3.608011,9.000,140.0,15555.6,3.124
322,3.616467,8.456,124.0,14664.9,3.471
323,3.623878,7.411,120.0,16191.9,1.026
324,3.632300,8.422,136.0,16147.8,1.016
325,3.640433,8.133,120.0,14754.1,3.129
326,3.649122,8.689,120.0,13810.7,2.964
327,3.656933,7.811,136.0,17411.1,2.989
328,3.665633,8.700,120.0,13793.1,29.492
329,3.673744,8.111,120.0,14794.5,3.156
330,3.682456,8.711,132.0,15153.1,3.117
331,3.691900,9.444,116.0,12282.4,2.814
332,3.698989,7.089,116.0,16363.6,3.381
333,3.707589,8.600,128.0,14883.7,2.979
334,3.715922,8.333,116.0,13920.0,2.955
335,3.723689,7.767,112.0,14420.6,26.459
336,3.732311,8.622,128.0,14845.4,3.199
337,3.739433,7.122,56.0,7862.7,3.842
338,3.749078,9.644,28.0,2903.2,1.656
339,3.757122,8.044,12.0,1491.7,1.392
340,3.766278,9.156,4.0,436.9,3.229
341,3.774178,7.900,0.0,0.0,8.681
342,3.782078,7.900,0.0,0.0,1.904
343,3.790467,8.389,0.0,0.0,1.912
344,3.799022,8.556,0.0,0.0,1.262
345,3.807267,8.244,-4.0,485.2,1.008
346,3.815511,8.244,0.0,0.0,1.021
347,3.823033,7.522,0.0,0.0,1.413
348,3.832122,9.089,-4.0,440.1,1.152
349,3.840678,8.556,0.0,0.0,1.398
350,3.849578,8.900,0.0,0.0,1.292
351,3.858011,8.433,-4.0,474.3,1.039
352,3.865911,7.900,0.0,0.0,1.256
353,3.873211,7.300,0.0,0.0,1.056
354,3.882067,8.856,-4.0,451.7,1.205
355,3.891233,9.167,0.0,0.0,1.014
356,3.898711,7.478,-4.0,534.9,1.110
357,3.906900,8.189,0.0,0.0,1.066
358,3.913878,6.978,-4.0,573.2,1.463
359,3.922422,8.544,0.0,0.0,1.133
