frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.966589,966.589,0.0,0.0,508.534
2,0.974478,7.889,160.0,20281.7,39.291
3,0.984756,10.278,124.0,12064.9,44.966
4,0.994267,9.511,148.0,15560.7,3.333
5,1.000511,6.244,116.0,18576.5,28.991
6,1.008444,7.933,124.0,15630.3,27.944
7,1.016567,8.122,148.0,18221.6,32.679
8,1.025556,8.989,116.0,12904.8,26.719
9,1.033411,7.856,124.0,15785.0,26.337
10,1.042689,9.278,148.0,15952.1,3.515
11,1.049822,7.133,116.0,16261.7,18.633
12,1.058567,8.744,124.0,14180.4,18.792
13,1.073278,14.711,0.0,0.0,4.265
14,1.081500,8.222,124.0,15081.1,3.716
15,1.093500,12.000,124.0,10333.3,21.266
16,1.098056,4.556,124.0,27219.5,3.527
17,1.108689,10.633,140.0,13166.1,3.527
18,1.115411,6.722,120.0,17851.2,1.023
19,1.123822,8.411,124.0,14742.4,3.402
20,1.132800,8.978,136.0,15148.5,3.386
21,1.141156,8.356,120.0,14361.7,1.046
22,1.148633,7.478,120.0,16047.5,3.360
23,1.157022,8.389,136.0,16211.9,3.477
24,1.164178,7.156,120.0,16770.2,31.942
25,1.172522,8.344,120.0,14380.8,1.047
26,1.181911,9.389,132.0,14059.2,3.439
27,1.190933,9.022,116.0,12857.1,3.002
28,1.199467,8.533,116.0,13593.8,3.031
29,1.206289,6.822,116.0,17003.3,2.869
30,1.214678,8.389,128.0,15258.3,3.284
31,1.222356,7.678,112.0,14587.6,3.272
32,1.231456,9.100,112.0,12307.7,38.512
33,1.239967,8.511,124.0,14569.2,3.849
34,1.249533,9.567,112.0,11707.3,1.069
35,1.256456,6.922,108.0,15601.9,2.638
36,1.265300,8.844,120.0,13567.8,3.398
37,1.273044,7.744,108.0,13945.5,1.002
38,1.281356,8.311,104.0,12513.4,2.976
39,1.289867,8.511,116.0,13629.2,3.082
40,1.298200,8.333,104.0,12480.0,3.503
41,1.306378,8.178,100.0,12228.3,3.310
42,1.314678,8.300,112.0,13494.0,25.863
43,1.323111,8.433,100.0,11857.7,3.066
44,1.331544,8.433,96.0,11383.4,3.802
45,1.338767,7.222,108.0,14953.8,10.535
46,1.347911,9.144,96.0,10498.2,3.276
47,1.356600,8.689,92.0,10588.2,1.264
48,1.364556,7.956,104.0,13072.6,4.341
49,1.373122,8.567,92.0,10739.3,2.379
50,1.381400,8.278,88.0,10630.9,2.705
51,1.392200,10.800,100.0,9259.3,20.424
52,1.398056,5.856,0.0,0.0,174.488
53,1.406500,8.444,148.0,17526.3,3.098
54,1.414944,8.444,128.0,15157.9,2.890
55,1.422856,7.911,128.0,16179.8,3.323
56,1.432456,9.600,128.0,13333.3,3.829
57,1.440000,7.544,128.0,16966.1,3.193
58,1.448833,8.833,128.0,14490.6,2.997
59,1.457344,8.511,128.0,15039.2,3.461
60,1.464911,7.567,128.0,16916.3,3.376
61,1.478933,14.022,128.0,9128.4,3.320
62,1.481011,2.078,128.0,61604.3,3.002
63,1.488744,7.733,128.0,16551.7,3.508
64,1.497533,8.789,128.0,14563.8,3.203
65,1.506100,8.567,0.0,0.0,85.973
66,1.522544,16.444,124.0,7540.5,3.128
67,1.530822,8.278,124.0,14979.9,3.293
68,1.539522,8.700,124.0,14252.9,2.875
69,1.547989,8.467,140.0,16535.4,1.110
70,1.555933,7.944,120.0,15104.9,1.103
71,1.564278,8.344,124.0,14860.2,3.498
72,1.573656,9.378,136.0,14502.4,32.471
73,1.582156,8.500,124.0,14588.2,1.048
74,1.589256,7.100,120.0,16901.4,30.852
75,1.597689,8.433,136.0,16126.5,3.487
76,1.605744,8.056,120.0,14896.6,3.337
77,1.614244,8.500,120.0,14117.6,3.363
78,1.622256,8.011,132.0,16477.1,14.858
79,1.630889,8.633,116.0,13436.3,3.156
80,1.639044,8.156,116.0,14223.4,13.397
81,1.647433,8.389,128.0,15258.3,3.193
82,1.655822,8.389,112.0,13351.0,1.059
83,1.663333,7.511,112.0,14911.2,2.789
84,1.679644,16.311,124.0,7602.2,1.104
85,1.682844,3.200,112.0,35000.0,1.068
86,1.688978,6.133,108.0,17608.7,1.072
87,1.697378,8.400,124.0,14761.9,1.066
88,1.705778,8.400,108.0,12857.1,2.897
89,1.713978,8.200,108.0,13170.7,1.100
90,1.721778,7.800,104.0,13333.3,4.034
91,1.730689,8.911,116.0,13017.5,17.011
92,1.739044,8.356,100.0,11968.1,1.038
93,1.747589,8.544,100.0,11703.5,2.638
94,1.755833,8.244,112.0,13584.9,26.894
95,1.765622,9.789,100.0,10215.7,1.010
96,1.774044,8.422,96.0,11398.4,3.762
97,1.780600,6.556,108.0,16474.6,26.473
98,1.789089,8.489,92.0,10837.7,1.112
99,1.797389,8.300,92.0,11084.3,4.508
100,1.805856,8.467,104.0,12283.5,12.441
101,1.814078,8.222,88.0,10702.7,1.181
102,1.822678,8.600,88.0,10232.6,3.947
103,1.830267,7.589,100.0,13177.2,3.753
104,1.839011,8.744,88.0,10063.5,2.901
105,1.847367,8.356,84.0,10053.2,1.000
106,1.855722,8.356,92.0,11010.6,4.165
107,1.863778,8.056,0.0,0.0,40.706
108,1.872211,8.433,188.0,22292.5,1.023
109,1.880644,8.433,148.0,17549.4,41.259
110,1.889278,8.633,116.0,13436.3,68.316
111,1.897544,8.267,124.0,15000.0,80.623
112,1.906044,8.500,184.0,21647.1,1.097
113,1.914089,8.044,64.0,7955.8,1.114
114,1.922722,8.633,140.0,16216.2,4.120
115,1.930944,8.222,148.0,18000.0,40.010
116,1.938533,7.589,116.0,15285.5,57.037
117,1.946911,8.378,172.0,20530.5,1.091
118,1.954844,7.933,84.0,10588.2,1.077
119,1.972956,18.111,0.0,0.0,166.323
120,1.976167,3.211,0.0,0.0,1531.501
121,1.982289,6.122,124.0,20254.1,64.485
122,1.990400,8.111,124.0,15287.7,73.443
123,1.998744,8.344,124.0,14860.2,3.580
124,2.007233,8.489,140.0,16492.1,3.414
125,2.015256,8.022,124.0,15457.1,27.446
126,2.023478,8.222,124.0,15081.1,3.318
127,2.032144,8.667,140.0,16153.8,1.111
128,2.039989,7.844,124.0,15807.4,3.342
129,2.048456,8.467,120.0,14173.2,3.347
130,2.056300,7.844,136.0,17337.1,4.097
131,2.065289,8.989,120.0,13349.8,39.584
132,2.073100,7.811,120.0,15362.7,45.999
133,2.081222,8.122,136.0,16744.2,1.097
134,2.090011,8.789,116.0,13198.5,1.046
135,2.098167,8.156,116.0,14223.4,3.936
136,2.106511,8.344,132.0,15818.9,1.097
137,2.115244,8.733,116.0,13282.4,17.232
138,2.123222,7.978,112.0,14039.0,3.792
139,2.131789,8.567,128.0,14941.6,52.945
140,2.140144,8.356,112.0,13404.3,3.543
141,2.148500,8.356,112.0,13404.3,30.176
142,2.156644,8.144,124.0,15225.1,3.430
143,2.164956,8.311,108.0,12994.7,15.011
144,2.173444,8.489,108.0,12722.5,3.330
145,2.182267,8.822,104.0,11788.4,1.066
146,2.189478,7.211,120.0,16641.0,1.048
147,2.198500,9.022,104.0,11527.1,3.165
148,2.206700,8.200,104.0,12682.9,3.071
149,2.215689,8.989,112.0,12459.8,2.891
150,2.223322,7.633,100.0,13100.4,9.534
151,2.232311,8.989,96.0,10679.9,1.032
152,2.240633,8.322,108.0,12977.3,2.704
153,2.249178,8.544,96.0,11235.4,2.805
154,2.256200,7.022,96.0,13670.9,2.473
155,2.264289,8.089,104.0,12857.1,17.084
156,2.279922,15.633,92.0,5884.9,5.366
157,2.281989,2.067,92.0,44516.1,1.079
158,2.289889,7.900,100.0,12658.2,12.001
159,2.304678,14.789,184.0,12441.8,1.007
160,2.313189,8.511,124.0,14569.2,11.288
161,2.321467,8.278,148.0,17879.2,11.398
162,2.330000,8.533,116.0,13593.8,13.674
163,2.338078,8.078,124.0,15350.8,14.576
164,2.346400,8.322,148.0,17783.7,3.094
165,2.354622,8.222,116.0,14108.1,12.714
166,2.363111,8.489,124.0,14607.3,14.473
167,2.370533,7.422,148.0,19940.1,13.182
168,2.379556,9.022,116.0,12857.1,12.101
169,2.388578,9.022,124.0,13743.8,11.198
170,2.396578,8.000,148.0,18500.0,2.587
171,2.404456,7.878,0.0,0.0,84.530
172,2.412633,8.178,0.0,0.0,123.439
173,2.421167,8.533,124.0,14531.3,2.665
174,2.429533,8.367,124.0,14820.7,3.195
175,2.439111,9.578,124.0,12946.6,17.605
176,2.447722,8.611,140.0,16258.1,21.357
177,2.454900,7.178,124.0,17275.5,20.027
178,2.462311,7.411,124.0,16731.6,16.777
179,2.470200,7.889,140.0,17746.5,3.082
180,2.481578,11.378,124.0,10898.4,3.214
181,2.488611,7.033,120.0,17061.6,1.012
182,2.496133,7.522,136.0,18079.8,3.600
183,2.504611,8.478,120.0,14154.7,3.270
184,2.513089,8.478,120.0,14154.7,32.592
185,2.520967,7.878,132.0,16756.0,1.173
186,2.529644,8.678,120.0,13828.4,1.256
187,2.537789,8.144,116.0,14242.8,1.205
188,2.546933,9.144,132.0,14435.0,3.254
189,2.554478,7.544,116.0,15375.6,12.323
190,2.562022,7.544,116.0,15375.6,1.038
191,2.571222,9.200,128.0,13913.0,24.223
192,2.584656,13.433,112.0,8337.5,18.760
193,2.587467,2.811,112.0,39841.9,35.689
194,2.596100,8.633,124.0,14362.9,3.557
195,2.604567,8.467,108.0,12755.9,3.536
196,2.612644,8.078,108.0,13370.0,18.824
197,2.620978,8.333,104.0,12480.0,1.108
198,2.629189,8.211,120.0,14614.3,3.670
199,2.637511,8.322,104.0,12496.7,3.571
200,2.646656,9.144,104.0,11373.0,2.813
201,2.656122,9.467,112.0,11831.0,1.022
202,2.664044,7.922,100.0,12622.7,12.822
203,2.672411,8.367,100.0,11952.2,2.771
204,2.679556,7.144,108.0,15116.6,1.004
205,2.696300,16.744,96.0,5733.2,2.985
206,2.704156,7.856,4.0,509.2,1.045
207,2.749833,45.678,160.0,3502.8,17.642
208,2.759167,9.333,124.0,13285.7,22.862
209,2.761144,1.978,148.0,74831.5,3.157
210,2.770333,9.189,140.0,15235.8,33.843
211,2.779144,8.811,92.0,10441.4,4.646
212,2.794011,14.867,156.0,10493.3,4.550
213,2.799456,5.444,140.0,25714.3,3.328
214,2.803100,3.644,92.0,25243.9,4.708
215,2.812278,9.178,156.0,16997.6,4.604
216,2.820833,8.556,116.0,13558.4,27.874
217,2.829189,8.356,124.0,14840.4,25.691
218,2.836989,7.800,148.0,18974.4,21.410
219,2.845411,8.422,0.0,0.0,143.385
220,2.854000,8.589,0.0,0.0,298.899
221,2.862478,8.478,124.0,14626.5,3.048
222,2.879689,17.211,124.0,7204.6,29.272
223,2.882800,3.111,124.0,39857.1,3.361
224,2.888778,5.978,140.0,23420.1,3.467
225,2.897011,8.233,124.0,15060.7,3.512
226,2.905844,8.833,124.0,14037.7,1.047
227,2.914678,8.833,136.0,15396.2,3.700
228,2.922356,7.678,124.0,16150.5,1.031
229,2.930322,7.967,120.0,15062.8,3.255
230,2.939011,8.689,136.0,15652.2,3.183
231,2.947878,8.867,120.0,13533.8,23.957
232,2.955811,7.933,120.0,15126.1,3.118
233,2.964033,8.222,132.0,16054.1,2.748
234,2.972567,8.533,116.0,13593.8,3.529
235,2.980344,7.778,116.0,14914.3,14.549
236,2.988322,7.978,132.0,16546.0,1.077
237,2.996111,7.789,112.0,14379.5,1.099
238,3.005256,9.144,112.0,12247.9,3.166
239,3.013956,8.700,128.0,14712.6,2.912
240,3.022311,8.356,112.0,13404.3,1.135
241,3.031544,9.233,112.0,12130.0,3.391
242,3.039178,7.633,120.0,15720.5,1.045
243,3.046989,7.811,108.0,13826.5,18.232
244,3.057178,10.189,104.0,10207.2,3.510
245,3.065044,7.867,108.0,13728.8,1.033
246,3.071844,6.800,116.0,17058.8,7.209
247,3.080433,8.589,104.0,12108.7,2.347
248,3.088444,8.011,100.0,12482.7,2.111
249,3.097400,8.956,112.0,12506.2,2.809
250,3.105333,7.933,100.0,12605.0,2.114
251,3.114222,8.889,96.0,10800.0,2.508
252,3.121944,7.722,108.0,13985.6,10.071
253,3.130200,8.256,96.0,11628.5,2.404
254,3.138456,8.256,92.0,11144.0,4.512
255,3.146056,7.600,104.0,13684.2,5.724
256,3.154044,7.989,92.0,11516.0,2.037
257,3.165567,11.522,88.0,7637.4,2.331
258,3.171056,5.489,100.0,18218.6,73.545
259,3.179478,8.422,0.0,0.0,602.588
260,3.187900,8.422,184.0,21847.0,1.034
261,3.196522,8.622,148.0,17164.9,3.082
262,3.205000,8.478,116.0,13682.8,16.200
263,3.214111,9.111,124.0,13609.8,17.134
264,3.224489,10.378,148.0,14261.2,15.341
265,3.230833,6.344,116.0,18283.7,14.551
266,3.237567,6.733,148.0,21980.2,3.230
267,3.246867,9.300,140.0,15053.8,18.374
268,3.254767,7.900,92.0,11645.6,6.583
269,3.263533,8.767,132.0,15057.0,6.195
270,3.271567,8.033,148.0,18423.2,18.906
271,3.279600,8.033,0.0,0.0,138.301
272,3.287956,8.356,0.0,0.0,374.116
