179,2.506867,8.289,13.160
180,2.515156,8.611,12.742
181,2.523767,7.956,12.622
182,2.531722,8.456,12.094
183,2.540178,8.011,12.898
184,2.548189,8.167,13.984
185,2.556356,9.044,14.094
186,2.565400,8.844,14.141
187,2.574244,7.089,13.503
188,2.581333,18.067,12.666
189,2.599400,8.122,11.883
190,2.607522,8.122,10.882
191,2.615644,33.267,0.257
192,2.648911,7.322,0.021
193,2.656233,8.678,6.880
194,2.664911,8.267,7.492
195,2.673178,7.956,7.245
196,2.681133,8.844,7.332
197,2.689978,7.944,6.904
198,2.697922,8.400,6.453
199,2.706322,8.056,6.623
200,2.714378,9.744,5.615
201,2.724122,7.300,4.885
202,2.731422,8.111,4.913
203,2.739533,8.267,5.009
204,2.747800,8.378,4.838
205,2.756178,8.200,4.483
206,2.764378,9.678,4.005
207,2.774056,7.389,3.538
208,2.781444,8.244,3.199
209,2.789689,8.022,2.532
210,2.797711,8.733,2.102
211,2.806444,8.100,1.833
212,2.814544,8.722,1.615
213,2.823267,7.544,1.081
214,2.830811,8.589,0.839
215,2.839400,8.367,0.825
216,2.847767,8.211,0.268
217,2.855978,8.400,0.272
218,2.864378,9.011,0.270
219,2.873389,165.356,16.366
220,3.038744,12.467,16.032
221,3.051211,12.189,12.840
222,3.063400,7.756,17.667
223,3.071156,8.544,18.113
224,3.079700,8.544,20.243
225,3.088244,7.856,21.167
226,3.096100,8.533,21.302
227,3.104633,8.533,21.142
228,3.113167,7.689,21.485
229,3.120856,8.756,0.644
230,3.129611,9.333,21.560
231,3.138944,7.544,21.657
232,3.146489,8.833,21.468
