frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.821944,821.944,0.0,0.0,460.955
2,0.830689,8.744,180.0,20584.5,3.920
3,0.838056,7.367,96.0,13031.7,3.427
4,0.849222,11.167,156.0,13970.1,3.271
5,0.856667,7.444,116.0,15582.1,31.909
6,0.865044,8.378,148.0,17665.8,26.928
7,0.873122,8.078,116.0,14360.4,26.318
8,0.881389,8.267,124.0,15000.0,24.906
9,0.889467,8.078,124.0,15350.8,17.151
10,0.898367,8.900,148.0,16629.2,3.722
11,0.906556,8.189,116.0,14165.5,24.071
12,0.914856,8.300,124.0,14939.8,21.502
13,0.922489,7.633,172.0,22532.8,3.220
14,0.931133,8.644,0.0,0.0,115.172
15,0.948289,17.156,124.0,7228.0,21.384
16,0.955967,7.678,124.0,16150.5,19.273
17,0.964111,8.144,124.0,15225.1,2.747
18,0.972389,8.278,140.0,16912.8,2.684
19,0.981322,8.933,124.0,13880.6,2.765
20,0.989556,8.233,124.0,15060.7,2.582
21,0.997044,7.489,136.0,18160.2,1.016
22,1.005278,8.233,120.0,14574.9,1.029
23,1.013744,8.467,120.0,14173.2,2.887
24,1.022044,8.300,136.0,16385.5,24.172
25,1.030756,8.711,120.0,13775.5,25.146
26,1.038978,8.222,120.0,14594.6,3.059
27,1.047200,8.222,132.0,16054.1,3.171
28,1.055422,8.222,116.0,14108.1,2.940
29,1.064456,9.033,116.0,12841.3,2.843
30,1.077344,12.889,132.0,10241.4,1.029
31,1.080267,2.922,116.0,39695.8,2.709
32,1.090944,10.678,112.0,10489.1,3.031
33,1.098089,7.144,128.0,17916.0,2.836
34,1.106022,7.933,112.0,14117.6,3.358
35,1.114878,8.856,112.0,12647.4,3.314
36,1.123322,8.444,120.0,14210.5,1.193
37,1.137311,13.989,108.0,7720.4,11.282
38,1.140844,3.533,108.0,30566.0,1.139
39,1.147800,6.956,120.0,17252.4,2.573
40,1.155967,8.167,104.0,12734.7,20.862
41,1.164456,8.489,104.0,12251.3,2.991
42,1.173533,9.078,116.0,12778.5,1.100
43,1.181911,8.378,100.0,11936.3,13.584
44,1.189667,7.756,100.0,12894.0,2.620
45,1.198278,8.611,100.0,11612.9,1.099
46,1.206189,7.911,108.0,13651.7,3.045
47,1.214544,8.356,92.0,11010.6,1.377
48,1.223611,9.067,96.0,10588.2,4.028
49,1.230833,7.222,104.0,14400.0,3.210
50,1.239767,8.933,92.0,10298.5,47.900
51,1.247433,7.667,88.0,11478.3,4.518
52,1.255467,8.033,100.0,12448.1,2.567
53,1.264078,8.611,0.0,0.0,108.008
54,1.272522,8.444,180.0,21315.8,2.559
55,1.280044,7.522,128.0,17016.2,3.016
56,1.289033,8.989,128.0,14239.8,3.189
57,1.298489,9.456,128.0,13537.0,3.106
58,1.307189,8.700,128.0,14712.6,3.299
59,1.314233,7.044,128.0,18170.3,2.844
60,1.322744,8.511,128.0,15039.2,3.328
61,1.330900,8.156,128.0,15694.8,3.477
62,1.339733,8.833,128.0,14490.6,2.805
63,1.347622,7.889,128.0,16225.4,2.887
64,1.356544,8.922,128.0,14346.2,3.017
65,1.367167,10.622,128.0,12050.2,3.162
66,1.389478,22.311,124.0,5557.8,16.306
67,1.398489,9.011,124.0,13760.8,3.107
68,1.405867,7.378,124.0,16807.2,16.233
69,1.414267,8.400,140.0,16666.7,1.031
70,1.422556,8.289,124.0,14959.8,2.933
71,1.430844,8.289,124.0,14959.8,2.710
72,1.439133,8.289,136.0,16407.5,2.933
73,1.448256,9.122,124.0,13593.2,1.063
74,1.456856,8.600,120.0,13953.5,3.620
75,1.465300,8.444,136.0,16105.3,32.066
76,1.471789,6.489,120.0,18493.2,20.272
77,1.480189,8.400,120.0,14285.7,1.106
78,1.488589,8.400,132.0,15714.3,1.077
79,1.497100,8.511,116.0,13629.2,2.733
80,1.504256,7.156,116.0,16211.2,2.821
81,1.512500,8.244,128.0,15525.6,3.340
82,1.520744,8.244,116.0,14070.1,3.209
83,1.529689,8.944,112.0,12521.7,3.554
84,1.538278,8.589,128.0,14903.0,1.072
85,1.547000,8.722,112.0,12840.8,3.119
86,1.554811,7.811,112.0,14338.5,3.151
87,1.563700,8.889,120.0,13500.0,1.090
